"","Media","Days.CM","Donor","actual.rho","lower.rho","upper.rho"
"1","CM-",1,"3",0.116410219295262,-0.0764412210352987,0.319593927227384
"2","CM-",1,"5",0.140657456454905,-0.381070026923708,0.460453209798931
"3","CM-",1,"7",0.173462138748939,-0.00867370178658536,0.355551216863835
"4","CM-",4,"3",-0.194344599507843,-0.366663345966699,0.0252768349850345
"5","CM-",4,"5",0.0356064272804377,-0.243457293497322,0.304480195611065
"6","CM-",4,"7",0.15375248916266,-0.156908997578186,0.413047924640711
"7","CM-",7,"3",-0.165506385005313,-0.308773217803463,-0.00116938784959395
"8","CM-",7,"5",-0.0122365233801888,-0.303190106077996,0.366787232535873
"9","CM-",7,"7",-0.154332339518039,-0.243262977018171,-0.0727933644885649
"10","CM-",14,"3",-0.256205538433396,-0.384695650295038,-0.133044208372743
"11","CM-",14,"5",0.177461295365435,-0.215113944533675,0.392214910967628
"12","CM-",14,"7",-0.125780189272461,-0.238428234896204,0.0294795649096432
"13","CM-",21,"3",-0.0913988663349218,-0.312776827554398,0.0876371992664997
"14","CM-",21,"5",0.0602955044316846,-0.276506852322415,0.271521219281793
"15","CM-",21,"7",-0.0872501407956893,-0.18318029621183,0.105170058743478
"16","CM+",1,"3",0.186262626826044,-0.049452964389458,0.404082619023593
"17","CM+",1,"5",0.319031991226953,0.0778339195252494,0.527339306944441
"18","CM+",1,"7",0.198031274076513,0.0146850872538084,0.375883870167417
"19","CM+",4,"3",0.563638064377509,0.404548489125369,0.689769291801017
"20","CM+",4,"5",-0.113592084684955,-0.379662483886905,0.190583231246358
"21","CM+",4,"7",0.106766420146771,-0.129798576455405,0.346948800478053
"22","CM+",7,"3",0.607601849378899,0.419441681851498,0.742261300247651
"23","CM+",7,"5",0.548241176659623,0.289589213242757,0.71163400446721
"24","CM+",7,"7",0.243909215652701,0.0182124958540455,0.437043823087949
"25","CM+",14,"3",0.337017958998852,0.139812879871748,0.527938197521851
"26","CM+",14,"5",0.152838411106624,-0.16396232786401,0.452196436651204
"27","CM+",14,"7",0.405099015529668,0.0236235387222382,0.682375666890233
"28","CM+",21,"3",0.462208698096432,0.296649376296677,0.624002088091185
"29","CM+",21,"5",0.468962741357435,0.3048851819224,0.618350173047682
"30","CM+",21,"7",0.493789817151599,0.154785314573458,0.703692616470101
